time,freq,continue,churn
8030615.0,1.0,1,0
8030124.0,1.0,1,0
8029694.0,1.0,0,1
8026823.0,1.0,1,0
8026803.0,1.0,1,0
8023915.0,1.0,1,0
8017670.0,1.0,1,0
8017495.0,1.0,1,0
8016907.0,1.0,0,1
8015222.0,1.0,1,0
8014927.0,1.0,1,0
8013523.0,1.0,1,0
8007769.0,1.0,1,0
8007523.0,1.0,1,0
8005581.0,1.0,1,0
7999773.0,1.0,1,0
7999379.0,1.0,1,0
7997604.0,1.0,0,1
7997457.0,1.0,0,1
7996286.0,1.0,1,0
7995734.0,1.0,1,0
7995319.0,1.0,0,1
7993096.0,1.0,0,1
7991399.0,1.0,1,0
7987862.0,1.0,1,0
7987150.0,1.0,1,0
7986866.0,1.0,1,0
7985685.0,1.0,1,0
7983711.0,1.0,0,1
7982780.0,1.0,1,0
7981402.0,1.0,0,1
7979318.0,1.0,1,0
7977711.0,1.0,1,0
7966633.0,1.0,1,0
7965426.0,1.0,0,1
7960281.0,1.0,1,0
7950079.0,1.0,1,0
7948800.0,714.0,648,66
7944925.0,1.0,1,0
7944705.0,1.0,0,1
7942808.0,1.0,1,0
7941097.0,1.0,1,0
7935707.0,1.0,1,0
7928550.0,1.0,0,1
7927183.0,1.0,1,0
7926268.0,1.0,1,0
7922688.0,1.0,1,0
7919070.0,1.0,1,0
7916695.0,1.0,1,0
7908784.0,1.0,1,0
7907897.0,1.0,1,0
7907802.0,1.0,1,0
7907792.0,1.0,1,0
7905196.0,1.0,1,0
7902473.0,1.0,0,1
7901173.0,1.0,1,0
7896108.0,1.0,1,0
7894552.0,1.0,1,0
7894334.0,1.0,0,1
7881075.0,1.0,1,0
7877766.0,1.0,0,1
7867895.0,1.0,1,0
7865228.0,1.0,1,0
7862400.0,416.0,354,62
7861232.0,1.0,1,0
7853099.0,1.0,1,0
7852164.0,1.0,1,0
7844666.0,1.0,0,1
7841947.0,1.0,1,0
7841664.0,1.0,0,1
7841638.0,1.0,1,0
7840775.0,1.0,0,1
7838953.0,1.0,0,1
7836221.0,1.0,0,1
7834566.0,1.0,1,0
7828585.0,1.0,0,1
7826995.0,1.0,1,0
7821570.0,1.0,1,0
7818231.0,1.0,0,1
7814849.0,1.0,0,1
7813113.0,1.0,0,1
7811152.0,1.0,0,1
7810395.0,1.0,1,0
7808348.0,1.0,1,0
7806069.0,1.0,1,0
7805268.0,1.0,1,0
7801760.0,1.0,0,1
7801442.0,1.0,1,0
7800578.0,1.0,0,1
7794679.0,1.0,1,0
7788817.0,1.0,1,0
7784736.0,1.0,1,0
7783908.0,1.0,0,1
7780761.0,1.0,1,0
7776000.0,394.0,309,85
7766372.0,1.0,1,0
7766242.0,1.0,1,0
7762273.0,1.0,1,0
7757269.0,1.0,1,0
7755017.0,1.0,0,1
7751885.0,1.0,1,0
7750483.0,1.0,1,0
7750458.0,1.0,1,0
7748328.0,1.0,0,1
7747383.0,1.0,0,1
7746663.0,1.0,0,1
7745573.0,1.0,1,0
7744487.0,1.0,1,0
7743914.0,1.0,1,0
7742021.0,1.0,1,0
7741641.0,1.0,1,0
7740675.0,1.0,1,0
7736261.0,1.0,1,0
7735247.0,1.0,1,0
7733341.0,1.0,1,0
7731510.0,1.0,1,0
7730291.0,1.0,0,1
7729885.0,1.0,0,1
7725789.0,1.0,0,1
7723970.0,1.0,0,1
7721224.0,1.0,0,1
7720376.0,1.0,0,1
7718661.0,1.0,0,1
7718143.0,1.0,1,0
7717745.0,1.0,1,0
7713155.0,1.0,1,0
7711671.0,1.0,1,0
7708487.0,1.0,0,1
7696537.0,1.0,1,0
7693634.0,1.0,1,0
7691372.0,1.0,1,0
7689600.0,279.0,207,72
7681138.0,1.0,1,0
7677878.0,1.0,1,0
7675977.0,1.0,1,0
7671884.0,1.0,1,0
7667463.0,1.0,1,0
7665801.0,1.0,0,1
7663643.0,1.0,1,0
7661988.0,1.0,1,0
7655483.0,1.0,0,1
7647211.0,1.0,1,0
7644875.0,1.0,0,1
7642626.0,1.0,0,1
7641813.0,1.0,1,0
7641167.0,1.0,0,1
7639295.0,1.0,0,1
7638066.0,1.0,1,0
7636616.0,1.0,1,0
7627690.0,1.0,0,1
7614184.0,1.0,0,1
7603200.0,190.0,120,70
7602933.0,1.0,1,0
7587169.0,1.0,1,0
7578660.0,1.0,1,0
7568043.0,1.0,0,1
7567489.0,1.0,1,0
7547769.0,1.0,1,0
7546059.0,1.0,1,0
7535161.0,1.0,1,0
7519408.0,1.0,1,0
7516800.0,126.0,79,47
7501764.0,1.0,1,0
7491973.0,1.0,1,0
7482041.0,1.0,0,1
7479908.0,1.0,0,1
7475618.0,1.0,1,0
7470394.0,1.0,1,0
7468320.0,1.0,1,0
7468043.0,1.0,1,0
7467281.0,1.0,1,0
7453992.0,1.0,0,1
7452791.0,1.0,1,0
7437422.0,1.0,1,0
7430400.0,112.0,73,39
7397845.0,1.0,1,0
7387308.0,1.0,1,0
7381359.0,1.0,0,1
7380584.0,1.0,1,0
7376730.0,1.0,1,0
7373423.0,1.0,1,0
7369684.0,1.0,1,0
7360506.0,1.0,1,0
7344000.0,108.0,51,57
7316022.0,1.0,0,1
7301383.0,1.0,1,0
7299790.0,1.0,0,1
7293473.0,1.0,0,1
7278704.0,1.0,1,0
7257600.0,104.0,55,49
7241854.0,1.0,0,1
7238082.0,1.0,0,1
7233411.0,1.0,0,1
7215425.0,1.0,1,0
7214526.0,1.0,0,1
7210693.0,1.0,0,1
7209207.0,1.0,0,1
7197184.0,1.0,1,0
7195413.0,1.0,0,1
7171200.0,58.0,33,25
7157809.0,1.0,1,0
7140379.0,1.0,0,1
7139232.0,1.0,0,1
7138489.0,1.0,1,0
7137359.0,1.0,1,0
7127407.0,1.0,1,0
7104759.0,1.0,0,1
7084800.0,63.0,35,28
7063317.0,1.0,1,0
7062690.0,1.0,0,1
7061173.0,1.0,1,0
7052232.0,1.0,1,0
7023267.0,1.0,1,0
7012035.0,1.0,1,0
7011650.0,1.0,1,0
6998400.0,61.0,26,35
6988794.0,1.0,0,1
6983646.0,1.0,1,0
6966760.0,1.0,0,1
6965800.0,1.0,0,1
6946075.0,1.0,0,1
6922322.0,1.0,0,1
6912000.0,74.0,41,33
6900521.0,1.0,0,1
6886286.0,1.0,0,1
6862139.0,1.0,0,1
6859934.0,1.0,0,1
6859800.0,1.0,0,1
6848602.0,1.0,1,0
6825600.0,62.0,30,32
6791852.0,1.0,1,0
6739200.0,61.0,23,38
6719250.0,1.0,1,0
6713510.0,1.0,1,0
6707781.0,1.0,0,1
6680450.0,1.0,1,0
6652800.0,48.0,19,29
6651525.0,1.0,1,0
6649792.0,1.0,1,0
6623171.0,1.0,0,1
6613106.0,1.0,0,1
6566400.0,63.0,26,37
6555691.0,1.0,1,0
6553145.0,1.0,0,1
6520960.0,1.0,1,0
6519246.0,1.0,0,1
6500730.0,1.0,1,0
6480000.0,57.0,15,42
6425316.0,1.0,1,0
6422652.0,1.0,1,0
6417077.0,1.0,0,1
6393600.0,42.0,23,19
6377565.0,1.0,1,0
6359731.0,1.0,1,0
6350670.0,1.0,1,0
6347067.0,1.0,0,1
6331433.0,1.0,1,0
6307200.0,49.0,22,27
6294448.0,1.0,1,0
6259490.0,1.0,0,1
6232859.0,1.0,1,0
6220800.0,48.0,22,26
6218536.0,1.0,1,0
6173526.0,1.0,0,1
6141209.0,1.0,1,0
6134400.0,55.0,23,32
6128903.0,1.0,1,0
6123613.0,1.0,1,0
6094728.0,1.0,0,1
6079043.0,1.0,0,1
6048000.0,52.0,14,38
5999397.0,1.0,0,1
5993707.0,1.0,0,1
5961600.0,34.0,10,24
5954359.0,1.0,1,0
5927524.0,1.0,1,0
5910254.0,1.0,1,0
5875200.0,41.0,12,29
5848025.0,1.0,0,1
5839210.0,1.0,0,1
5836810.0,1.0,0,1
5836058.0,1.0,0,1
5822207.0,1.0,0,1
5816743.0,1.0,0,1
5788800.0,37.0,11,26
5733896.0,1.0,1,0
5702400.0,35.0,15,20
5684884.0,1.0,1,0
5675252.0,1.0,0,1
5659919.0,1.0,0,1
5616000.0,29.0,6,23
5607194.0,1.0,1,0
5598384.0,1.0,0,1
